"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene"
"ACAT1",32.5269982644981,0.482019033523488,0.0970064931301188,2.53049139526884e-07,5.1514744731193e-06,"ACAT1"
"ACAT2",20.1101386783311,1.99239484452349,0.117188944068572,2.24306184698203e-66,6.41362752201838e-64,"ACAT2"
"ACBD3",12.0996345668652,0.0320353791558409,0.150596250751412,0.816435699521015,0.92060118958563,"ACBD3"
"ACBD3-AS1",0.126750153606099,-0.0241193554301505,0.260177956912095,0.982384597958299,NA,"ACBD3-AS1"
"ACBD4",2.07174764068366,-0.0686674946426197,0.228380625180056,0.572124338345002,0.78582963269715,"ACBD4"
"ACBD5",14.805964027908,0.0844664449421294,0.138063254293833,0.479364747558977,0.721484374810323,"ACBD5"
"ACBD6",18.2076918315502,-0.432519019561606,0.16111896935431,0.00184502550669112,0.0141022271565498,"ACBD6"
"ACBD7",7.30446580324363,-0.043306689714355,0.169398712432712,0.737888651851135,0.879890993402826,"ACBD7"
"ACCS",0.835610070704797,0.195721640402038,0.331625209026717,0.0809202617852918,0.248524387376828,"ACCS"
"ACD",4.16661429841791,-0.170328843918905,0.233136289675438,0.244097513474174,0.494303352475903,"ACD"
"ACE",0.529541558326368,1.72920230363704,0.637135128796479,0.00019620744879105,0.00213906924890832,"ACE"
"ACE2",0.040645137369321,-0.00563117055661513,0.259715810941287,0.928939077337845,NA,"ACE2"
"ACE2-DT",0.0237346480699298,0.0248644799664147,0.261017640145603,0.867891287024651,NA,"ACE2-DT"
"ACER2",0.0776839807628243,-0.0109114481261539,0.259740302162099,0.93469378140436,NA,"ACER2"
"ACER3",9.156492934044,0.23204477271944,0.178420402207854,0.0915530697788901,0.269712566265368,"ACER3"
"ACHE",0.33328787073042,-0.0186453149884024,0.253863789873531,0.945759975301277,NA,"ACHE"
"ACIN1",16.9757463236827,-0.236154458902799,0.142900217049212,0.0539267576338746,0.190149253865408,"ACIN1"
"ACKR2",2.07720356728245,0.622546303080786,0.421534488139626,0.00730369634755624,0.043171027904475,"ACKR2"
"ACKR3",0.0553972821534974,-0.0089266893534786,0.259764101780398,0.943968083814236,NA,"ACKR3"
"ACKR4",0.0385892462142783,0.0111697720597777,0.259263755507972,0.861886604077324,NA,"ACKR4"
"ACLY",9.82250055067555,0.24984792653792,0.171447701817768,0.0628986101820296,0.210571424880286,"ACLY"
"ACMSD",0.0229577288839138,0.0242495380104103,0.260980840705082,0.879138582167571,NA,"ACMSD"
"ACO1",10.659113265002,0.0138962535159995,0.146635271963196,0.897699876069185,0.955740403129886,"ACO1"
"ACO2",53.1182151285719,-0.316646621613774,0.0905144293152015,0.000177531161111773,0.00195252924229177,"ACO2"
"ACOT1",0.346742028852069,0.0123492154610117,0.25152727662109,0.784382008828859,NA,"ACOT1"
"ACOT11",8.98617207976927,0.0980234711616305,0.170828105096958,0.451769957090677,0.698787997917093,"ACOT11"
"ACOT12",0.0540827422685037,-0.00882454574017214,0.259818801966347,0.956118879918162,NA,"ACOT12"
"ACOT13",89.1127464142182,-0.098254802288949,0.06454321190788,0.113474557340539,0.309970998899356,"ACOT13"
"ACOT2",21.8982692504172,-0.290648887238745,0.128384505698771,0.0107420987468324,0.0581520982659346,"ACOT2"
"ACOT4",0.299760446395676,-0.0880550875854434,0.275425636402243,0.454612751869657,NA,"ACOT4"
"ACOT7",4.999423028885,-1.04405661015725,0.37164928091059,0.000565904746126824,0.00524660840900631,"ACOT7"
"ACOT8",15.7949382055576,-0.180866340669225,0.13941397023601,0.130397624201597,0.338447699537369,"ACOT8"
"ACOT9",30.7105275286304,-0.382272139839109,0.114936586988995,0.00029083923078768,0.00297241946591373,"ACOT9"
"ACOX1",30.905971833104,0.68098141785533,0.0964539020903086,2.10033375829356e-13,9.40366512921398e-12,"ACOX1"
"ACOX2",5.96926634819902,-0.0356315387303517,0.178127878241265,0.780265685009765,0.903333264296296,"ACOX2"
"ACOX3",3.95185964265738,-0.149576871609395,0.221508457763411,0.297256446270224,0.553795846368383,"ACOX3"
"ACOXL",0.716778148499395,0.180599338063721,0.322825012324883,0.0870003534557248,0.260607487339636,"ACOXL"
"ACOXL-AS1",0.389856272383702,0.126405162135743,0.29526527845664,0.120802390939234,NA,"ACOXL-AS1"
"ACP1",61.6746176291744,0.0580186743059389,0.0762861670828634,0.427715842813444,0.678615941070536,"ACP1"
"ACP2",5.95208768471426,-0.00695399364893817,0.173543963109396,0.997458245615466,0.999205524969199,"ACP2"
"ACP3",0.304396336228967,0.00706897740049425,0.253931410032108,0.733568261223451,NA,"ACP3"
"ACP6",3.19164537176308,0.165955697300127,0.232788708450585,0.231946674171233,0.479954129563863,"ACP6"
"ACRBP",0.0210796147350442,-0.00354709808722205,0.259786788375315,0.949165165042927,NA,"ACRBP"
"ACRV1",0.0109786165211805,-0.00140841730963487,0.259798077983218,0.950558723077015,NA,"ACRV1"
"ACSBG1",7.88587186466839,0.0557436006461689,0.162002728206801,0.633492108482415,0.822339632631199,"ACSBG1"
"ACSF2",7.33294110715801,0.306491942568202,0.196668104265865,0.0373524336231064,0.146441560427641,"ACSF2"
"ACSF3",4.04098459287368,-0.198200446493699,0.248893541969811,0.190927667793458,0.426957161128598,"ACSF3"
"ACSL1",12.7981744811999,0.483152946551441,0.161554498899662,0.000482929558072407,0.00459934653301207,"ACSL1"
"ACSL3",16.7692545930182,0.381206940150364,0.13633864760391,0.0013661305300004,0.0109893147045621,"ACSL3"
"ACSL3-AS1",0.013744918919212,-0.000212555038760291,0.259835741521901,0.944179258557717,NA,"ACSL3-AS1"
"ACSL4",5.41341300026477,0.379762203594209,0.231916832497396,0.0202341063605921,0.0933157229188449,"ACSL4"
"ACSL5",0.0695377777343505,0.029188447759602,0.26055343163952,0.742105717593391,NA,"ACSL5"
"ACSM3",0.107907667337231,0.00492252207284809,0.258093445989171,0.823144485099618,NA,"ACSM3"
"ACSM5",0.401892313919163,0.0342572888894674,0.252791544935941,0.604142880767198,NA,"ACSM5"
"ACSS1",0.10160061641158,0.0287915996643135,0.259751926565191,0.683527412712538,NA,"ACSS1"
"ACSS2",11.6554325614828,0.164528207506254,0.149374219599899,0.190408918021107,0.426251707762196,"ACSS2"
"ACSS3",0.918368148144289,0.309773208531072,0.465790105727602,0.0334837138918975,0.134975522099956,"ACSS3"
"ACTA1",713.530195486669,-1.9479007484861,0.0587276311720267,4.11237875365783e-243,1.29344592749423e-239,"ACTA1"
"ACTA2",65.8861132109218,-0.638231899313348,0.0965339623946729,5.11229140785604e-12,1.92568078449811e-10,"ACTA2"
"ACTA2-AS1",0.64400720962225,-0.117363006352115,0.281293560416566,0.177492380490172,0.40877447528486,"ACTA2-AS1"
"ACTB",121.887208410467,-0.422368622842239,0.130860849509811,0.000278883441990575,0.00286583033581815,"ACTB"
"ACTBL2",0.0224848165171909,-0.00332833224542517,0.259772338427944,0.942767874348643,NA,"ACTBL2"
"ACTC1",1789.51908406952,-1.13620420937947,0.0349083880746077,8.22290707820847e-234,1.4778913421563e-230,"ACTC1"
"ACTE1P",0.0180967087342646,0.021002836179495,0.260643180284541,0.895158426828974,NA,"ACTE1P"
"ACTG1",110.991334345691,-0.357613616665523,0.130115614169254,0.00170480021521287,0.0132150902696199,"ACTG1"
"ACTG1P10",0.027568541538349,0.0129165946757545,0.259533291716798,0.875733641940587,NA,"ACTG1P10"
"ACTG1P17",0.406185317041351,0.00745325974244467,0.251043974890709,0.844256514331354,NA,"ACTG1P17"
"ACTG1P25",0.495028533240921,0.00752366240055403,0.247820237543412,0.907674505305921,0.959438674834143,"ACTG1P25"
"ACTG2",0.546068437665584,-0.0422856394785665,0.256052099410382,0.528673760974495,0.75575942913929,"ACTG2"
"ACTL10",0.0254476522696414,-0.0031059330880439,0.259758015144926,0.935463658081232,NA,"ACTL10"
"ACTL6A",6.536397835226,0.0841079210002897,0.176574943216018,0.513268466855581,0.74574784403627,"ACTL6A"
